timestamp,customer_id,recommended_ids,ground_truth_indexes,inventory_size
1450,97b4a760b728bcc465e3d7456b0c6a9a,4a4e039edcee3b91707ca60ba70469d4|90d94ad2bac7d00d97442bd100781b81|5627b84ddb149883f04d49e6cae4f7a5|fc9e66a50d8cdd35ad4eb5091ad52cab|fb52ef61c8fc434c09d88c84006e3a4e|473b76c6c4f329b7129e0687d6c6c09d|b23e0a0ff852a71be347fedd62a6b950|70d3019e600f1110c4fa7440b73f3f37|2488fb8d89d440287bcbe56860bf68ff|521252936bdf0bd015efe01d9c45a4f0,639,1426
1460,bc3fa64cc02d8f346493cfefa069158e,76ca045065e0bed49df67872e04088eb|8f64718c61b1a95b5cab81a2f8b80756|642de1c37c20aba8a055c562455ecd51|d0f3c96f910441dee4ff040977f7ee87|4796de8492176a136a7d65aaea331161|ca2f9da7fdd6adbf48a3eab2c7144ebf|b067cfae02884cf7aada6d5fb6e32fce|5070b3383ae7cf57f0de547777440762|9b212f9332a1b725a2689280aaf2461b|00afd2e5659d226d918a61fbe7b94ad8,134|393|416,1427
1477,374ca9fe2d34c230a06905103bfd8340,c0478e8f4f2a482232086b0ecc0f11ff|365757ed8a6311c4e102882b65aa607a|bbd233f11bad363e2790457d116e7881|523e728c91ea42b7c94559c8cf08694f|5627b84ddb149883f04d49e6cae4f7a5|7cdba739aae56ff206427540e5d6b2b2|c1ded5230d9e02194828f22d71fbfda4|5b046863d617607f0a793ee5b74a6357|903a49111441f3cb30e5822b81a85d53|82121610f49f280b8b8d0d8cd0e00ee5,1219,1429
1487,8978960088332a2535ecb53b3cd2c318,a1451986c86aa1ae36ce9d0ca805861c|015c079119faa10660e23435161546c1|963e506ccad0ff54f689ea609a65ee32|5926aa7ce7d5558a47011d00868a8e4d|266b22b4d554beec251175e8b2d2baad|bdb967ff9c085f6afba07e13e9bf0599|5af37e62314f1e7a067fcef7ffaf6986|d7ca46c3a981d23a85c4433b3ba84e9a|e634343b4184cff35ab73520131416ab|64ceeb8d5bf82d5400659aada42876df,121|150|235|410|437|492|517|552|610|1039|1191,1425
1539,f5c66a5cd35fc87a5ae2579f5356299a,4bd939d45edd5d544374f871acb04d78|da1803ed2ad613ea6a73ff460c7f9818|623b7575bd41fc5d0958edc244498a68|a929ee3b832d486510a896fa78351b40|3305ff7503a97c7f7c69dad6f537f17a|f0d11142b2a71a97e2cc7115aa3a3c2f|7d468560283aef0acc954e3ae00c2515|37a06aa6ae9850e60e4b5a096dd2aa98|aee688c9e1d00c81bbf104d8579d6a8d|4cc384d754ef56708c56edfab2cc2a3d,110|395|498|982,1420
1541,f5c66a5cd35fc87a5ae2579f5356299a,c5752923b5975dd6e5363de0b3dd3270|fddf1ad72582ee165230179acefc38be|1f9a3a09713524916ad4a5d6d55ab359|05ef2f9876dbed499d8c1a03c44611eb|e701bf71dc4911a04f96b7aea7a99d12|67f2a3487c3c63be3b7cd21e16f467cb|32522766726e910dc5a41efbe0576fdc|5b82167ad4bc61cc962dba29f1f7cbe6|b7914241dc143749f83c402fe25e64dc|8f046a31dc97a55904b93c2c95f02bdb,145|157|536,1420
1542,f5c66a5cd35fc87a5ae2579f5356299a,00afd2e5659d226d918a61fbe7b94ad8|05688b2f7b54cb2560293202973d0532|dd682b7b0bf7c7334ae061b40cc45826|fddf1ad72582ee165230179acefc38be|8bec1fe0d3d7cead91861f5438dc0f1f|797b9e081c3b04b5ca1125e5716d8ff0|1e12bab9de000339e3535f5f61b95a13|d941e3d0ddecb0efc63c985b8f4b98b0|516ec80b0c19a8be2ddcecf195d9be03|d77c477f9256410bb002b8bd56394270,88|884,1419
1543,f5c66a5cd35fc87a5ae2579f5356299a,00afd2e5659d226d918a61fbe7b94ad8|d941e3d0ddecb0efc63c985b8f4b98b0|2b411954d8ab409eb6b06187f76c06da|05688b2f7b54cb2560293202973d0532|b067cfae02884cf7aada6d5fb6e32fce|82121610f49f280b8b8d0d8cd0e00ee5|b8555bc01d40321aeba88024dc3faf68|373aaff0c75eb988091958ccf3fecf59|c4fdf6ef08414ce57661b9b935da138c|9c74d3b2ddd18c95893ea6a6537fbc19,1083,1418
1558,2be06b39d2e36e9d2ffdd9d6bb385394,797b9e081c3b04b5ca1125e5716d8ff0|aedf95e9a118eb8b05c3225f5c62d170|05ef2f9876dbed499d8c1a03c44611eb|573328a90e964088021be5e997078029|2576076311540a82f986ca0e8cdeaebd|44e24d1868e40b32c3dc7d315a2f2128|d13dd065c8faec7f700af0f6c0d1f2e4|cd7a3a71efd75c2dd75f7ce94978f929|cdd66e9fb1be7a6e1a9d0c504f644fbf|be62ad725ee93674cec319ccd7dff284,359,1425
1559,8978960088332a2535ecb53b3cd2c318,d13dd065c8faec7f700af0f6c0d1f2e4|797b9e081c3b04b5ca1125e5716d8ff0|573328a90e964088021be5e997078029|d8e174ea2a6d097979f45f68e6fcfa12|12e91f2ccb1397c530e2d11b6f69e75d|dfd3be3c78e6adf2eb20265e8530d627|509abb8569d16407a150502c3535d452|9fc3f450cfd1614fa4ca40273695ad33|e3b5ec01a0522ba1c84d2c48db98b9bc|76ca045065e0bed49df67872e04088eb,66|81|233|367|464|956|1281,1424
1572,2cca01c18884b248bfecd36151c198a5,32077ff7a970c18f1d002deeb9fb62d0|2488fb8d89d440287bcbe56860bf68ff|86a9b602a2124486de2fa1b76ed64343|c870fce876961ad82399c0770ee6fba7|b11864a4a6e86998b2c4f9c6886aa63e|6b7b663b2450fefaad78b2cdb6b0ec54|be8a0b4947fc1eeafc218d790bedea1f|68ef5df52a6df7715e67f8365109e8cc|09e9de7f1606dad023f7760dcd287f9a|82d4053515398932a42bd5143a308f04,0|237,1431
1603,8978960088332a2535ecb53b3cd2c318,d13dd065c8faec7f700af0f6c0d1f2e4|797b9e081c3b04b5ca1125e5716d8ff0|76ca045065e0bed49df67872e04088eb|dfd3be3c78e6adf2eb20265e8530d627|e621b8199c621d094256c4bf5b33a08c|811d15cb547db604832c2254d4d21428|4ad38ebb7ba7cec815cae22b7667c103|482d21623c655ec2caa8bae3254aba9c|9fc3f450cfd1614fa4ca40273695ad33|fe84bf3ace9c7d56e64835b2f376a8e8,159|268|554|1077|1402,1440
1611,43401815eb3debf336162a9e6de05d93,fb208832279a365f08feae4fb9cfa917|3489de6e59c33242f0e0d37c25b5d3ad|e621b8199c621d094256c4bf5b33a08c|6a169448b29b7bac7442e98b7f4930cf|8f046a31dc97a55904b93c2c95f02bdb|12a4cba8ebe0ba7620090136833e68c8|9c8d0dcdd2a33382dd17230b3b2a922a|b47a854387ff773805285a592d9fe060|dfd3be3c78e6adf2eb20265e8530d627|2576076311540a82f986ca0e8cdeaebd,156,1441
1621,8978960088332a2535ecb53b3cd2c318,d13dd065c8faec7f700af0f6c0d1f2e4|797b9e081c3b04b5ca1125e5716d8ff0|76ca045065e0bed49df67872e04088eb|dfd3be3c78e6adf2eb20265e8530d627|28a8e520e4ebfcaac968b2357f813665|34ec7da62e3fda70ae0fdd8e82331cb5|509abb8569d16407a150502c3535d452|22adb23ce29c0e233545c046c25eae7d|df07349414cee8342745be56551ba1b1|e621b8199c621d094256c4bf5b33a08c,251|667|949|1395,1441
1629,e1e1a69aa5871973082028492101f119,842b48a073fa2845c474856d5e1fc4c2|53d1baa034d72c2d44be59cc09b4e68b|8b806fd568f433682ee1a1370a015306|9c646cc854e021b0984a4cc134af2a4f|98d38455f07f365f744491fe3d269a0a|86a9b602a2124486de2fa1b76ed64343|023447d02d792f30800dcad0a1d6777f|301690bbad734f45411324967250beb1|be68513768ca27a877a96774167b8d93|3f1806dbcb876e30134b6fdcdc818d90,344|437|784,1446
1630,e1e1a69aa5871973082028492101f119,797b9e081c3b04b5ca1125e5716d8ff0|d5537d825f35547c06f83acccac9fd2f|7e9a2bf6206adf3db3535013f6d639f8|b8555bc01d40321aeba88024dc3faf68|51e92a6821e14368580d5e4d1100f9b9|811d15cb547db604832c2254d4d21428|ded75662e7caf3fecfbd456d2112bf55|68ef5df52a6df7715e67f8365109e8cc|4e1eaf91e2fc636a407cdcf09c62a0a3|dfd3be3c78e6adf2eb20265e8530d627,16|779,1445
1637,bc3fa64cc02d8f346493cfefa069158e,a541dda6b5e2bd0e02cf0fc1454bb73d|da1803ed2ad613ea6a73ff460c7f9818|00afd2e5659d226d918a61fbe7b94ad8|66b225189ad05957c64aa4d5e9e3c46b|4796de8492176a136a7d65aaea331161|0d064bea795607d833e27b08138074d6|57dd275cb13a482192a46c0cec61c09e|9b212f9332a1b725a2689280aaf2461b|b1e04308dbdf16704d856f79467affb3|ff5ad449f8550191d96ca0eac53a3706,460|503|812,1443
